Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,Extent,Perimeter,Class
45683,333.2625321,177.7720961,0.845844473,48787,0.634230657,901.102,Kecimen
111450,478.3109708,298.630592,0.781149506,113256,0.690092879,1298.188,Kecimen
47581,306.8118747,203.097502,0.749538262,49203,0.667775392,861.58,Kecimen
57127,311.6445775,238.6419206,0.643138024,59943,0.693625546,952.023,Kecimen
53006,333.3813698,206.8807081,0.784164747,55456,0.691695375,936.371,Kecimen
69060,328.4888612,275.8888648,0.542783247,72223,0.727023897,1039.551,Kecimen
25387,225.629541,144.618672,0.767577386,26139,0.678144032,619.074,Kecimen
66774,348.5579747,246.4762569,0.707082253,69097,0.692446491,1003.374,Kecimen
47839,312.6013291,198.7512989,0.771855496,50166,0.702770596,868.06,Kecimen
78571,443.8222908,228.7576146,0.856934002,81718,0.642192762,1157.33,Kecimen
64717,342.5767105,245.7320369,0.696759162,66649,0.66254095,997.989,Kecimen
60462,373.3428463,208.1086262,0.830230914,62213,0.665683112,990.547,Kecimen
59370,345.9492049,221.9219567,0.767133811,61464,0.697485902,981.517,Kecimen
54056,332.2676409,208.6190158,0.778322762,55539,0.674553259,912.153,Kecimen
89235,443.5159353,258.9467393,0.811861615,91201,0.655190643,1179.694,Kecimen
51727,321.1271422,208.7667575,0.759843328,52913,0.751889645,903.308,Kecimen
71595,387.3096951,236.7511846,0.791421357,74045,0.718536732,1069.77,Kecimen
95347,451.5261542,280.2261534,0.784111496,99256,0.674956111,1255.245,Kecimen
60449,383.8002498,208.1687832,0.840127895,64346,0.67634488,1054.198,Kecimen
69006,379.3178462,241.8502909,0.77037364,72895,0.697453002,1086.857,Kecimen
68520,373.235638,237.0415232,0.772430874,70759,0.712858926,1049.093,Kecimen
52731,309.9772864,219.7253525,0.70536589,54438,0.695879962,894.48,Kecimen
50570,311.3447951,208.3178983,0.74318078,51743,0.720863268,873.777,Kecimen
75825,391.2043013,248.5002712,0.772332349,77437,0.745370006,1081.339,Kecimen
42637,293.4295802,189.4321576,0.763692969,44052,0.725119048,814.182,Kecimen
76984,425.0481856,233.9734424,0.834859339,78641,0.758754595,1091.754,Kecimen
47851,323.1525189,191.6109615,0.805244577,49187,0.773237024,860.402,Kecimen
51220,328.6476055,202.5088754,0.787598712,52903,0.692470967,896.728,Kecimen
53890,331.0863197,216.5794558,0.756366569,57109,0.704444444,957.132,Kecimen
58650,346.3389582,219.6843649,0.773083296,62380,0.660287081,991.612,Kecimen
98935,387.5169377,326.8987235,0.537014933,100747,0.740420596,1176.6,Kecimen
77587,396.8075663,251.9449198,0.772569894,79970,0.703864647,1100.836,Kecimen
180898,843.9566534,323.1905688,0.923770364,221396,0.454188929,2253.557,Kecimen
71266,390.707154,235.6868033,0.797566261,73002,0.66062887,1034.183,Kecimen
39457,267.5569406,188.7651659,0.708695988,40472,0.697576154,755.822,Kecimen
35237,267.5537786,173.5251032,0.761162183,37418,0.706832223,750.909,Kecimen
49059,301.8003982,210.4672152,0.716709132,50835,0.698607314,867.582,Kecimen
53896,319.0720226,217.6957013,0.731093185,55392,0.745944749,889.626,Kecimen
56469,325.341425,225.1150238,0.721960082,58697,0.685736144,933.896,Kecimen
85156,422.2791325,260.2106227,0.7875856,87057,0.702560887,1140.684,Kecimen
67044,361.2553722,238.2264457,0.751756706,68626,0.756943504,989.016,Kecimen
52243,331.4511469,206.7595988,0.781583108,55774,0.714434188,934.547,Kecimen
38968,269.4020207,185.7275682,0.724374455,40147,0.737583283,769.242,Kecimen
79661,360.0734473,282.7390316,0.619209281,81032,0.779156886,1045.658,Kecimen
59282,329.2425655,233.7746492,0.704163616,60580,0.725925745,920.573,Kecimen
48177,305.784503,202.4661938,0.74939737,49877,0.677642591,860.548,Kecimen
74904,342.8963104,280.1155681,0.57676457,75898,0.731741628,1012.365,Kecimen
81581,424.2783146,245.5074738,0.81557794,83143,0.762382252,1114.736,Kecimen
57820,376.1911744,199.7971077,0.847305856,59968,0.714780201,978.85,Kecimen
57808,309.9716571,241.3665105,0.627430162,58954,0.710346522,911.857,Kecimen
55306,353.1546092,204.126836,0.816029801,57396,0.743990207,973.259,Kecimen
59459,347.1551548,222.109478,0.768542385,61585,0.709619286,966.329,Kecimen
44247,319.7903082,178.6479431,0.829409642,45872,0.677637221,842.121,Kecimen
48945,269.3704112,239.1621656,0.460121209,51456,0.711244478,872.289,Kecimen
68864,343.6762094,261.9884386,0.64720992,71726,0.698347024,1035.022,Kecimen
82826,396.7059122,269.7628551,0.733205484,84981,0.745434745,1115.811,Kecimen
65396,331.5384446,253.2429662,0.645403364,66783,0.764829716,975.425,Kecimen
81572,393.716176,265.8146124,0.737687128,84964,0.698270844,1187.338,Kecimen
44367,322.5040186,176.7089727,0.836525515,46531,0.732999603,883.973,Kecimen
51448,328.289568,202.1603698,0.787903331,52772,0.704805743,877.799,Kecimen
50545,286.8713324,227.1597173,0.610712677,51771,0.835454545,847.664,Kecimen
94063,448.1210966,276.607844,0.786758156,99085,0.70929382,1259.451,Kecimen
84129,413.0345598,261.6430865,0.773771049,86242,0.713834797,1144.973,Kecimen
79735,410.9979193,250.2207874,0.793313932,83306,0.749044143,1154.54,Kecimen
90176,390.207341,294.7622385,0.65526509,91793,0.762549046,1136.669,Kecimen
61492,356.4260216,224.163105,0.777470812,65298,0.690843725,1013.202,Kecimen
79532,367.5260058,277.2241619,0.656532102,81603,0.735114151,1075.271,Kecimen
69302,354.9636669,254.4527709,0.697235919,71843,0.701153379,1051.02,Kecimen
52266,320.4425614,213.8574996,0.744715834,54116,0.684289081,923.19,Kecimen
51180,288.6310651,226.6304906,0.619253764,52396,0.737442725,855.997,Kecimen
55787,333.7034529,226.9512079,0.733120775,59520,0.688592377,977.425,Kecimen
96064,411.2070534,303.2324524,0.675434094,99609,0.731331126,1223.904,Kecimen
54316,351.8052608,198.4175196,0.825776045,55960,0.655895281,930.627,Kecimen
70941,326.0111541,278.1026598,0.521834977,72330,0.76010929,993.05,Kecimen
55770,293.5806697,243.4806344,0.558731929,57633,0.740165631,900.109,Kecimen
47478,299.8185828,205.2960945,0.72879271,48900,0.720914695,861.179,Kecimen
88197,473.2866901,238.7384529,0.863454506,90297,0.658456829,1193.28,Kecimen
74728,355.310549,270.7408973,0.647596035,76287,0.766676926,1048.675,Kecimen
70788,362.6507703,249.4037249,0.725972018,71954,0.7461579,1003.769,Kecimen
48894,318.0989115,197.4955028,0.783919938,50468,0.663815575,875.174,Kecimen
52051,313.7032602,213.6317375,0.732283957,53550,0.695051277,893.451,Kecimen
53270,336.1488879,204.3070754,0.794099752,55288,0.693692051,922.011,Kecimen
57227,354.43108,207.5949862,0.810518333,59307,0.649981827,953.496,Kecimen
97026,455.9715909,273.0538098,0.800869044,99561,0.671204732,1212.667,Kecimen
58495,368.7395425,205.7578712,0.829838749,61496,0.630103195,998.437,Kecimen
53758,359.5316125,193.4008772,0.842992995,57197,0.710295439,965.068,Kecimen
110616,461.1445532,306.899065,0.74638361,112150,0.752397666,1252.875,Kecimen
49175,281.4314214,224.4858963,0.603110639,50672,0.727613045,845.128,Kecimen
53698,348.2232313,197.7528973,0.823103652,56089,0.731341251,938.705,Kecimen
73125,408.940773,231.2190014,0.824810334,75540,0.656512605,1096.751,Kecimen
50445,308.3589121,208.8552452,0.735695738,51555,0.723225806,851.632,Kecimen
46742,303.5552029,199.4459327,0.753861393,48077,0.70526284,847.792,Kecimen
69317,393.3989966,228.722883,0.813616588,72170,0.661674303,1066.388,Kecimen
148073,599.3628139,327.0840676,0.837967815,152985,0.690156141,1557.606,Besni
103915,516.4855009,260.1054455,0.863933164,106499,0.691085026,1285.063,Besni
71141,417.1369997,219.1852525,0.850823569,73629,0.725454805,1085.215,Besni
169494,614.9937443,352.28079,0.819681103,172094,0.740122616,1607.527,Besni
47253,360.0191761,172.5083892,0.877725147,51538,0.711320187,940.542,Besni
102960,522.3810484,252.36543,0.875561861,105956,0.741658503,1311.161,Besni
81570,450.480907,233.6080557,0.855032254,84540,0.733213483,1162.256,Besni
62526,357.2050867,228.86293,0.767787509,65994,0.707307692,1006.598,Besni
141613,588.3715687,311.2961675,0.84857138,149492,0.721793513,1521.811,Besni
105961,497.7014599,275.9717264,0.832188722,109992,0.697561586,1347.989,Besni
125282,536.4989648,299.4368265,0.829752693,129758,0.735948588,1404.303,Besni
87252,433.4845202,261.0666438,0.798306516,90160,0.73579464,1166.517,Besni
108771,472.208192,294.4538963,0.781769152,111241,0.770049274,1267.646,Besni
138202,556.9819072,318.2528014,0.820680026,143228,0.697215215,1576.336,Besni
92024,453.715176,260.4860546,0.818772562,94643,0.751860779,1204.623,Besni
76708,458.0446404,216.3409323,0.881430321,78694,0.658392557,1135.68,Besni
105053,490.4095974,277.084224,0.825086992,107939,0.670404145,1297.279,Besni
72924,434.2226657,220.4917639,0.861483822,77356,0.621603191,1183.236,Besni
89169,408.1899217,281.3966838,0.724402895,93087,0.713854554,1187.085,Besni
93042,470.5658055,254.2608114,0.841453216,95156,0.632396721,1216.104,Besni
71054,364.7511364,249.723369,0.728880994,72956,0.727848231,1027.206,Besni
90675,426.2364248,275.2870726,0.763459806,92030,0.740107415,1163.021,Besni
137921,598.761032,297.2016018,0.868116234,142159,0.748756786,1510.852,Besni
164440,580.7758476,362.3455742,0.78150484,167563,0.770427286,1554.365,Besni
71502,490.4334789,189.4429399,0.922383026,75157,0.500546035,1182.852,Besni
144250,606.351813,305.3303818,0.863964234,148528,0.800255194,1547.081,Besni
223075,694.2475503,411.810369,0.805073466,225916,0.764940471,1812.569,Besni
56244,398.8024524,182.8440459,0.888703306,58530,0.65636597,1008.134,Besni
142239,614.8344775,297.7353473,0.874928099,148078,0.643516382,1553.114,Besni
78632,407.9403285,245.8211977,0.798050128,79715,0.689010979,1068.727,Besni
93430,467.6371192,258.947168,0.832692769,98337,0.7129884,1258.966,Besni
97583,522.7865556,241.940773,0.886467562,101231,0.725982963,1298.731,Besni
123654,542.4197414,293.4732356,0.840993944,126325,0.65953021,1400.524,Besni
85894,477.1719928,231.0396812,0.874965463,89369,0.730391156,1202.493,Besni
235047,772.956877,388.201507,0.864734549,239093,0.711672732,1942.05,Besni
152611,663.1332504,297.4179501,0.893780798,158488,0.61471504,1755.968,Besni
83932,499.2377543,224.4723887,0.893214785,88572,0.67084419,1258.062,Besni
117354,520.3266122,289.6619857,0.83071856,121057,0.712064948,1374.171,Besni
66315,363.5788956,234.4544522,0.764307755,68906,0.688944066,1015.021,Besni
87663,405.6780508,277.4549315,0.729548695,89710,0.743688283,1126.518,Besni
95364,481.5643732,253.8467812,0.849784975,97623,0.737951528,1225.352,Besni
78787,450.2555917,228.912522,0.861117655,80567,0.677376367,1142.632,Besni
160451,593.7498799,346.7570543,0.811745025,163523,0.785231188,1548.609,Besni
121077,521.191031,302.1091845,0.814864461,125856,0.734512254,1403.043,Besni
62280,388.582055,205.5143916,0.848694829,63596,0.791440045,977.906,Besni
106897,481.7946852,288.6600202,0.80064808,109314,0.715983148,1284.69,Besni
111568,491.1120737,293.9110068,0.801152573,114128,0.734758929,1303.224,Besni
61556,340.7836277,231.4351892,0.73402126,63181,0.734803992,956.302,Besni
47609,331.8941109,184.2131203,0.831826447,49720,0.748192733,874.091,Besni
61861,345.9436498,235.4304678,0.732705625,67390,0.70227959,1063.621,Besni
84855,420.350624,275.8810121,0.754489905,90768,0.673805327,1172.642,Besni
127292,639.8506348,258.3819447,0.914840211,129101,0.534714521,1496.062,Besni
125968,522.5437758,308.0475964,0.807757147,129444,0.739578685,1414.078,Besni
48488,275.3377168,226.802199,0.566991437,50103,0.669594277,859.326,Besni
84774,416.2814499,264.0989928,0.772985146,90393,0.697670974,1209.582,Besni
78921,376.9878173,268.8326119,0.701055316,82584,0.719924469,1144.959,Besni
145235,609.6301806,306.6080357,0.864320723,148876,0.682495301,1538.316,Besni
87039,497.0580562,236.2127732,0.879866091,96247,0.636981038,1271.343,Besni
181126,949.6626718,293.386698,0.951082244,225592,0.414153748,2352.029,Besni
142419,580.4381967,318.180558,0.836364958,145899,0.754857688,1512.658,Besni
92619,398.6207288,296.8829335,0.667315162,95666,0.742996727,1173.39,Besni
68510,348.4009519,252.9930044,0.687531298,70513,0.670877399,1028.839,Besni
48551,302.8128348,205.9633801,0.733056942,50748,0.742824357,862.001,Besni
92472,424.4199935,282.2115053,0.746901655,95982,0.746163157,1204.61,Besni
100928,465.1799197,287.0157139,0.78696365,105549,0.686192924,1310.51,Besni
96920,447.5951038,277.4359099,0.784730757,100285,0.687258906,1229.91,Besni
96762,457.4774879,277.3867797,0.795205711,101717,0.78868349,1248.75,Besni
151908,594.1828014,328.5680583,0.833198042,155600,0.721207805,1560.016,Besni
75368,387.8523157,250.5845218,0.76326774,77706,0.735096754,1078.409,Besni
168269,614.3804322,353.4662998,0.817927331,173527,0.756241377,1641.456,Besni
99333,422.87694,302.2095731,0.699480849,101942,0.720765368,1191.348,Besni
102722,416.8989374,317.5428031,0.647955574,107169,0.724419777,1261.988,Besni
104468,542.1781725,250.0630792,0.887286135,108119,0.646932785,1360.497,Besni
73699,408.5855548,231.1420842,0.824602335,76106,0.703181055,1079.578,Besni
71918,448.5277271,207.7512363,0.88626171,75002,0.696373759,1091.499,Besni
127933,560.7226757,294.6625589,0.850790524,130766,0.667778474,1426.6,Besni
73294,445.2461201,217.6202412,0.872416085,76157,0.654434087,1147.6,Besni
189069,679.4893072,357.0472563,0.850815756,195810,0.612143209,1831.909,Besni
159064,570.2169046,368.2206845,0.763544285,165584,0.781964054,1563.83,Besni
120818,492.6065372,315.2013498,0.768487895,123230,0.672032484,1311.522,Besni
59890,402.4157189,194.6688358,0.875205907,61673,0.719710626,1034.144,Besni
137593,558.0587508,316.7128382,0.823355491,142114,0.677764642,1478.596,Besni
166654,607.9964652,349.6589887,0.818082863,169060,0.753517688,1574.164,Besni
55858,298.8588591,239.8993992,0.596358734,58630,0.681452744,915.13,Besni
105308,473.3133932,284.170622,0.799710534,108094,0.787014132,1259.934,Besni
67468,424.563654,207.8230517,0.87200443,70674,0.611693881,1105.042,Besni
132680,549.8652777,308.392291,0.827917003,136612,0.650653694,1453.895,Besni
154197,582.6121787,343.2602128,0.808005855,160008,0.762219476,1555.816,Besni
225043,740.0037432,390.3008576,0.849597917,229195,0.744187354,1853.893,Besni
66613,433.1941642,199.8147343,0.887265505,70454,0.708950617,1085.157,Besni
141559,594.1144312,306.3100019,0.856845008,146674,0.764489545,1530.598,Besni
77622,460.1429023,226.581322,0.870360472,82990,0.651213128,1205.141,Besni
179668,690.4334163,332.5532581,0.876358889,181954,0.779403089,1681.985,Besni
105091,507.6851162,268.0873433,0.849208116,108296,0.700270537,1295.591,Besni
66938,356.3232835,248.674245,0.71620554,69880,0.708661084,1022.705,Besni
97494,451.7827664,278.2800079,0.787777611,101878,0.689695666,1254.755,Besni
101770,468.6679004,279.8129101,0.802212378,103475,0.785177527,1233.824,Besni
88338,504.4821967,227.1275085,0.892918128,90790,0.727157486,1230.493,Besni
119336,563.5463265,275.3557685,0.872500913,125523,0.668155987,1469.764,Besni
126019,520.6800335,316.1898754,0.794500651,130948,0.694510885,1422.242,Besni
154498,621.3515398,318.5977308,0.858538226,159694,0.750048547,1585.782,Besni
82632,471.3667164,227.3931825,0.875944181,87501,0.633078974,1243.987,Besni
218459,571.2892031,492.2752785,0.507431838,228259,0.731973651,1947.46,Besni
150420,607.7096735,316.8097244,0.853362761,153905,0.642408712,1557.266,Besni
110296,487.6911592,289.9248299,0.804107077,113271,0.687099748,1316.112,Besni
171264,609.6431474,359.2245718,0.807959919,174156,0.771737563,1592.095,Besni
110936,500.9313423,286.2523864,0.820643598,113888,0.732395854,1319.435,Besni
54502,346.457978,204.0812123,0.808096294,56464,0.636111111,927.283,Besni
142415,532.0841297,342.4207326,0.765407249,144862,0.770643939,1449.803,Besni
94282,494.16296,244.8038886,0.868670102,97707,0.702386185,1269.68,Besni
68799,356.5678081,253.2546956,0.703942708,71879,0.700929152,1041.27,Besni
79058,454.4372156,236.9642525,0.853284574,82555,0.578255972,1175.034,Besni
85646,469.7747551,238.5393844,0.861490344,92673,0.6810436,1226.892,Besni
107486,462.8131338,296.0912378,0.768571317,108914,0.759967476,1235.078,Besni
149703,637.8730298,304.6225324,0.878599234,154549,0.593805036,1596.356,Besni
187391,660.6555881,362.3150066,0.836204746,189799,0.71394663,1682.478,Besni
115272,511.4720359,291.5913488,0.821573762,119773,0.62476017,1392.653,Besni
83248,430.0773077,247.8386945,0.817262582,85839,0.66879293,1129.072,Besni
87350,440.7356978,259.2931487,0.808628995,90899,0.636476246,1214.252,Besni
99657,431.7069809,298.8373229,0.721684066,106264,0.741098519,1292.828,Besni
93523,476.3440939,254.1760536,0.84573851,97653,0.658798253,1258.548,Besni
85609,512.0817743,215.2719758,0.907345395,89197,0.632019963,1272.862,Besni
