Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Convex_Area,Eccentricity,Extent,Class
63907,1037.464,432.1567,189.4292,64654,0.8988,0.6296,Ürgüp Sivrisi
72986,1086.392,443.7518,209.831,73632,0.8811,0.6119,Ürgüp Sivrisi
57255,1071.249,475.9168,154.7253,57898,0.9457,0.6397,Ürgüp Sivrisi
71038,1108.191,464.4989,196.329,71782,0.9063,0.7628,Ürgüp Sivrisi
101695,1254.371,493.3281,263.6463,102602,0.8452,0.7018,Ürgüp Sivrisi
60677,991.063,415.2757,186.7622,61143,0.8932,0.7633,Ürgüp Sivrisi
55926,963.144,380.5068,188.56,56727,0.8686,0.7305,Ürgüp Sivrisi
81489,1177.822,497.0192,209.5395,82259,0.9068,0.7245,Ürgüp Sivrisi
91187,1214.702,500.7215,233.268,91961,0.8849,0.7031,Ürgüp Sivrisi
87110,1204.394,503.0661,221.0046,88000,0.8983,0.6983,Ürgüp Sivrisi
78025,1198.898,446.993,229.1742,79611,0.8586,0.646,Ürgüp Sivrisi
77516,1125.379,463.6641,213.421,78287,0.8878,0.6111,Ürgüp Sivrisi
75754,1147.805,490.6169,200.9129,76332,0.9123,0.5453,Ürgüp Sivrisi
61013,1020.686,430.3309,180.9423,61554,0.9073,0.6088,Ürgüp Sivrisi
77244,1110.416,463.2871,212.6756,77867,0.8884,0.7088,Ürgüp Sivrisi
65018,1000.166,385.8303,218.8405,65965,0.8236,0.6766,Ürgüp Sivrisi
109033,1328.504,551.7349,252.454,109892,0.8892,0.7462,Ürgüp Sivrisi
114177,1411.442,598.6151,244.0708,115297,0.9131,0.5451,Ürgüp Sivrisi
78792,1139.471,449.2928,226.5793,80186,0.8635,0.6102,Ürgüp Sivrisi
69304,1069.857,445.9318,198.4077,70024,0.8956,0.5618,Ürgüp Sivrisi
73111,1106.783,466.66,200.6157,73767,0.9029,0.6726,Ürgüp Sivrisi
74336,1105.654,461.9574,205.3545,74955,0.8958,0.75,Ürgüp Sivrisi
73128,1105.963,466.2476,200.6775,73703,0.9026,0.6226,Ürgüp Sivrisi
77358,1147.854,488.9031,201.6832,78007,0.9109,0.6538,Ürgüp Sivrisi
98626,1264.03,520.2769,242.0064,99791,0.8852,0.5948,Ürgüp Sivrisi
82366,1198.457,510.9901,206.0456,83517,0.9151,0.731,Ürgüp Sivrisi
72140,1178.246,516.2589,184.5502,75406,0.9339,0.5163,Ürgüp Sivrisi
52367,1001.304,438.2606,154.5346,53045,0.9358,0.624,Ürgüp Sivrisi
112682,1361.841,557.6689,259.8084,113842,0.8848,0.5933,Ürgüp Sivrisi
58896,964.351,390.8858,193.0709,59536,0.8695,0.6204,Ürgüp Sivrisi
64666,1001.259,404.889,204.352,65184,0.8633,0.6238,Ürgüp Sivrisi
71141,1126.925,486.4598,187.065,71768,0.9231,0.5851,Ürgüp Sivrisi
54426,903.456,363.788,190.8668,54880,0.8513,0.6485,Ürgüp Sivrisi
87088,1193.77,494.4742,225.1701,87924,0.8903,0.7051,Ürgüp Sivrisi
60387,1016.508,433.2884,178.2834,60938,0.9114,0.6202,Ürgüp Sivrisi
92886,1211.852,501.5779,237.1213,93503,0.8812,0.618,Ürgüp Sivrisi
51555,934.911,401.8321,164.7038,52013,0.9121,0.7187,Ürgüp Sivrisi
69836,1010.605,396.6286,224.7918,70419,0.8239,0.6693,Ürgüp Sivrisi
84236,1274.656,456.9323,237.154,85248,0.8548,0.6104,Ürgüp Sivrisi
58987,977.41,404.0779,186.371,59518,0.8873,0.7327,Ürgüp Sivrisi
79755,1146.431,470.3888,217.8296,80649,0.8863,0.7175,Ürgüp Sivrisi
79637,1224.71,533.1513,190.4367,80381,0.934,0.4888,Ürgüp Sivrisi
69647,1084.318,462.9416,191.821,70216,0.9101,0.6002,Ürgüp Sivrisi
87994,1210.314,507.22,222.1872,88702,0.899,0.7643,Ürgüp Sivrisi
80011,1182.947,501.9065,204.7531,80902,0.913,0.7374,Ürgüp Sivrisi
84934,1159.933,462.8951,234.5597,85781,0.8621,0.736,Ürgüp Sivrisi
